Date,ABBN.SW,ADEN.SW,ALC.SW,BAER.SW,CFR.SW,GEBN.SW,GIVN.SW,HOLN.SW,KNIN.SW,LOGN.SW,LONN.SW,NESN.SW,NOVN.SW,PGHN.SW,ROG.SW,SCMN.SW,SGSN.SW,SIKA.SW,SLHN.SW,SOON.SW,SREN.SW,UBSG.SW,UHR.SW,ZURN.SW,^SSMI
2020-03-05,17.530752182006836,33.61639404296875,57.98985290527344,31.873777389526367,60.946109771728516,454.2429504394531,2870.70751953125,38.228370666503906,122.4406509399414,36.309967041015625,396.98321533203125,95.46820068359375,72.7647933959961,751.3317260742188,291.7827453613281,473.2779846191406,86.50910186767578,172.454345703125,363.1355285644531,227.36331176757812,69.5429458618164,8.108745574951172,195.864501953125,310.1258850097656,10143.5703125
2020-03-06,16.770034790039062,32.38059997558594,54.348304748535156,31.248149871826172,59.46885681152344,436.13507080078125,2796.815185546875,36.82488250732422,119.79649353027344,34.87036895751953,378.80975341796875,91.54012298583984,70.26512908935547,719.3341064453125,278.3110656738281,462.06610107421875,83.85051727294922,161.17408752441406,352.3971862792969,218.5272216796875,66.98345947265625,7.854104518890381,191.0181884765625,297.6402893066406,9736.8203125
2020-03-09,15.522110939025879,29.686843872070312,51.45273971557617,28.487030029296875,56.77949905395508,413.84149169921875,2675.81689453125,33.62525939941406,113.56997680664062,33.17671585083008,358.7798156738281,88.66195678710938,67.40205383300781,669.5017700195312,263.9118957519531,441.51092529296875,80.21244812011719,152.66607666015625,324.44476318359375,210.07118225097656,61.488075256347656,7.036068916320801,176.8907012939453,269.608154296875,9196.599609375
2020-03-10,15.376803398132324,29.228628158569336,50.981597900390625,28.737285614013672,56.81737518310547,413.84149169921875,2703.526611328125,33.92601013183594,114.63617706298828,33.487220764160156,358.5843811035156,87.63017272949219,68.5189208984375,660.5844116210938,262.6751708984375,433.18695068359375,79.26795196533203,150.51516723632812,323.3791198730469,204.27545166015625,61.4730224609375,7.207951068878174,179.03955078125,268.6415100097656,9195.9296875
2020-03-11,15.308423042297363,29.09671974182129,49.88226318359375,28.920801162719727,55.131797790527344,401.8302917480469,2689.671630859375,33.224266052246094,114.89205169677734,33.30844497680664,356.72796630859375,87.00566101074219,68.74052429199219,651.3173217773438,262.4543151855469,428.26055908203125,78.67326354980469,148.93785095214844,324.44476318359375,198.28970336914062,61.4278450012207,7.244555950164795,176.6163787841797,268.07763671875,9152.5
2020-03-12,13.453634262084961,25.340736389160156,45.568359375,25.442296981811523,47.688720703125,363.7037048339844,2476.30859375,28.9553165435791,109.04935455322266,30.711515426635742,323.1168212890625,81.57515716552734,62.01272964477539,558.9963989257812,242.44557189941406,396.1537170410156,71.78192138671875,132.35202026367188,276.3272705078125,180.42747497558594,51.837276458740234,6.288057804107666,154.99081420898438,231.1042022705078,8270.4404296875
2020-03-13,13.475005149841309,24.76449203491211,45.440757751464844,24.316162109375,49.54475402832031,364.0677185058594,2535.422119140625,28.4958438873291,110.0728988647461,31.257247924804688,325.3640441894531,81.4574966430664,62.8902587890625,561.9688720703125,250.08692932128906,403.0337829589844,71.04730987548828,137.13180541992188,270.9171142578125,177.1970672607422,50.96403503417969,6.407421112060547,157.91690063476562,233.68186950683594,8367.5595703125
2020-03-16,12.957883834838867,23.473159790039062,45.03832244873047,22.088918685913086,46.779640197753906,352.05645751953125,2495.705078125,26.031381607055664,108.58023834228516,31.276065826416016,325.0709228515625,81.4574966430664,62.21660232543945,521.9281616210938,258.5674133300781,408.1300964355469,69.05335998535156,129.48416137695312,236.81680297851562,162.47024536132812,45.33314895629883,5.933150768280029,146.85267639160156,217.2492218017578,8227.080078125
2020-03-17,13.299781799316406,23.292648315429688,44.758575439453125,21.521682739257812,48.46522521972656,358.7900390625,2592.6884765625,26.29871368408203,113.4420394897461,32.49925994873047,323.2144775390625,84.92395782470703,65.54061126708984,484.3353271484375,264.3094482421875,447.79644775390625,72.06177520751953,137.08399963378906,230.09512329101562,149.69114685058594,43.97812271118164,6.175061225891113,152.1561737060547,223.6934051513672,8493.0400390625
2020-03-18,12.859589576721191,23.056598663330078,43.63961410522461,20.779266357421875,48.59779739379883,365.1595764160156,2673.9697265625,24.235248565673828,107.64199829101562,33.63776397705078,319.8924560546875,85.28600311279297,63.838714599609375,493.07781982421875,256.35894775390625,444.3988952636719,72.93630981445312,128.86280822753906,225.91455078125,151.8764190673828,41.177734375,6.179835319519043,157.0939483642578,214.99375915527344,8338.740234375
2020-03-19,13.49637222290039,23.730039596557617,44.16965103149414,23.215055465698242,49.52581024169922,373.71307373046875,2863.318115234375,25.346345901489258,109.17730712890625,38.06948471069336,338.6521911621094,90.32731628417969,67.10067749023438,509.6886291503906,280.83697509765625,447.62652587890625,78.11355590820312,133.45138549804688,235.0953826904297,152.16146850585938,41.764915466308594,6.657289028167725,172.1358184814453,227.64044189453125,8782.240234375
2020-03-20,13.67586898803711,24.1396541595459,42.63844299316406,23.557065963745117,50.68110275268555,374.6230163574219,2693.366455078125,26.691356658935547,108.49494171142578,40.280635833740234,332.2035217285156,88.68006896972656,65.59378814697266,509.1640319824219,266.843017578125,440.1519775390625,78.07858276367188,137.6097869873047,228.4556884765625,151.5438690185547,42.39726257324219,6.574530124664307,174.69613647460938,229.00982666015625,8623.8603515625
2020-03-23,12.757020950317383,21.869401931762695,38.13804244995117,23.28178596496582,48.50310516357422,353.2393798828125,2652.7255859375,24.936994552612305,102.78019714355469,37.56138229370117,316.375,83.24956512451172,62.0659065246582,497.9736022949219,253.98863220214844,411.95233154296875,73.49600982666016,131.682861328125,213.9466552734375,140.5225067138672,42.00580596923828,6.198934078216553,165.4149627685547,218.29640197753906,8160.7900390625
2020-03-24,14.163069725036621,24.729782104492188,42.81511306762695,27.611146926879883,51.6091194152832,391.9118957519531,2762.64013671875,28.37053108215332,112.97290802001953,38.21062088012695,348.03204345703125,85.26789855957031,64.32624053955078,575.0825805664062,265.6123046875,439.6423034667969,79.54779052734375,147.0259552001953,247.96495056152344,152.11395263671875,49.036888122558594,6.975590229034424,177.5764923095703,247.45628356933594,8733.3203125
2020-03-25,14.795580863952637,25.46570587158203,45.151206970214844,28.378589630126953,52.15835952758789,392.3669128417969,2741.396240234375,28.98873519897461,113.78321075439453,38.229434967041016,372.1656494140625,87.44010162353516,66.09017944335938,592.3927612304688,269.2589111328125,433.6966247558594,81.15695190429688,149.79820251464844,262.1460876464844,152.87403869628906,52.198612213134766,7.19999361038208,177.94227600097656,265.58056640625,8989.16015625
2020-03-26,15.697331428527832,26.826467514038086,45.48492431640625,29.471359252929688,52.196231842041016,405.28802490234375,2746.938232421875,30.124893188476562,116.214111328125,37.871891021728516,383.7927551269531,89.33173370361328,68.18209075927734,609.7030029296875,271.1278381347656,436.2447509765625,82.89602661132812,154.00442504882812,268.7038879394531,162.2802276611328,53.74937057495117,7.58673095703125,177.347900390625,272.266357421875,9203.98046875
2020-03-27,15.094738006591797,25.667041778564453,44.2678108215332,28.2951717376709,50.093994140625,387.1802062988281,2702.60205078125,28.604446411132812,112.33320617675781,37.11915588378906,373.0450134277344,88.19132232666016,67.3666000366211,579.8035278320312,270.4440612792969,437.4339294433594,80.25117492675781,149.94161987304688,263.949462890625,163.51535034179688,53.207359313964844,7.217499256134033,170.48988342285156,260.5057678222656,8996.3701171875
2020-03-30,14.897773742675781,25.535131454467773,47.83573913574219,27.53607177734375,49.336421966552734,385.9062805175781,2806.366943359375,28.6127986907959,112.54644775390625,38.88808059692383,384.7698669433594,90.32731628417969,68.96212768554688,582.0765991210938,281.520751953125,455.27105712890625,81.51925659179688,150.99314880371094,265.09710693359375,163.8954315185547,52.92129898071289,7.2127251625061035,172.50157165527344,267.75543212890625,9174.3896484375
2020-03-31,15.224557876586914,26.479333877563477,48.41975402832031,27.552753448486328,50.245506286621094,387.6351623535156,2825.2333984375,29.540103912353516,113.31410217285156,39.367950439453125,392.9772033691406,90.01053619384766,70.77925109863281,585.3988037109375,286.3069763183594,441.8507385253906,81.22941589355469,152.90505981445312,270.0154113769531,165.70065307617188,56.12818908691406,7.198400974273682,176.8907012939453,276.6161804199219,9311.919921875
2020-04-01,14.562036514282227,24.833921432495117,48.26271057128906,25.901092529296875,47.72659683227539,374.89599609375,2743.164794921875,28.863422393798828,119.28474426269531,39.33031463623047,386.3331604003906,90.36351776123047,69.93717193603516,572.6347045898438,290.6373291015625,444.0591125488281,80.25117492675781,149.36802673339844,255.5063934326172,158.7647705078125,52.37929153442383,6.868959903717041,169.6669464111328,265.9027404785156,9168.98046875
